bank,date,web_traffic,number_of_employee,assets_under_management,number_of_branches,age,has_stores,founded_before_2000,cross_visitation,search_interest,rank,category_best_salary_accounts_helmycash,category_best_savings_accounts_helpmycash,incentive,apr,mentions
n26,2022-02-01,5547.5889705106265,1500,8000000000,0,11,0,0,0.0554765276610851,17.64399518220111,7.0,1,0,300.0,2.0,2.0
n26,2022-02-01,5547.5889705106265,1500,8000000000,0,11,0,0,0.0554765276610851,17.64399518220111,7.0,0,1,300.0,2.0,2.0
n26,2022-02-01,12928.637518661106,1500,8000000000,0,11,0,0,0.0554765276610851,17.64399518220111,7.0,0,0,300.0,2.0,2.0
n26,2022-02-01,12928.637518661106,1500,8000000000,0,11,0,0,0.0554765276610851,17.64399518220111,7.0,1,0,300.0,2.0,2.0
n26,2022-02-01,12928.637518661106,1500,8000000000,0,11,0,0,0.0554765276610851,17.64399518220111,7.0,0,1,300.0,2.0,2.0
n26,2022-03-01,4900.271300032084,1500,8000000000,0,11,0,0,0.0565476194024086,17.652685664464137,7.0,0,0,300.0,2.0,1.0
n26,2022-03-01,4900.271300032084,1500,8000000000,0,11,0,0,0.0565476194024086,17.652685664464137,7.0,1,0,300.0,2.0,1.0
n26,2022-03-01,4900.271300032084,1500,8000000000,0,11,0,0,0.0565476194024086,17.652685664464137,7.0,0,1,300.0,2.0,1.0
n26,2022-03-01,12554.646465097732,1500,8000000000,0,11,0,0,0.0565476194024086,17.652685664464137,7.0,0,0,300.0,2.0,1.0
n26,2022-03-01,12554.646465097732,1500,8000000000,0,11,0,0,0.0565476194024086,17.652685664464137,7.0,1,0,300.0,2.0,1.0
n26,2022-03-01,12554.646465097732,1500,8000000000,0,11,0,0,0.0565476194024086,17.652685664464137,7.0,0,1,300.0,2.0,1.0
n26,2022-04-01,4909.581023140519,1500,8000000000,0,11,0,0,0.0522540993988513,17.652685664464137,7.0,0,0,300.0,2.0,1.0
n26,2022-04-01,4909.581023140519,1500,8000000000,0,11,0,0,0.0522540993988513,17.652685664464137,7.0,1,0,300.0,2.0,1.0
n26,2022-04-01,4909.581023140519,1500,8000000000,0,11,0,0,0.0522540993988513,17.652685664464137,7.0,0,1,300.0,2.0,1.0
n26,2022-04-01,11887.397875042518,1500,8000000000,0,11,0,0,0.0522540993988513,17.652685664464137,7.0,0,0,300.0,2.0,1.0
n26,2022-04-01,11887.397875042518,1500,8000000000,0,11,0,0,0.0522540993988513,17.652685664464137,7.0,1,0,300.0,2.0,1.0
n26,2022-04-01,11887.397875042518,1500,8000000000,0,11,0,0,0.0522540993988513,17.652685664464137,7.0,0,1,300.0,2.0,1.0
n26,2022-05-01,6639.387528361599,1500,8000000000,0,11,0,0,0.0546218492090702,1.0,9.0,0,0,300.0,2.0,2.0
n26,2022-05-01,6639.387528361599,1500,8000000000,0,11,0,0,0.0546218492090702,1.0,5.0,1,0,300.0,2.0,2.0
n26,2022-05-01,6639.387528361599,1500,8000000000,0,11,0,0,0.0546218492090702,1.0,5.0,0,1,300.0,2.0,2.0
n26,2022-05-01,14913.055479318127,1500,8000000000,0,11,0,0,0.0546218492090702,1.0,9.0,0,0,300.0,2.0,2.0
n26,2022-05-01,14913.055479318127,1500,8000000000,0,11,0,0,0.0546218492090702,1.0,5.0,1,0,300.0,2.0,2.0
n26,2022-05-01,14913.055479318127,1500,8000000000,0,11,0,0,0.0546218492090702,1.0,5.0,0,1,300.0,2.0,2.0
n26,2022-06-01,7382.78333666578,1500,8000000000,0,11,0,0,0.0503432489931583,17.652685664464137,4.0,0,0,300.0,2.0,1.0
n26,2022-06-01,7382.78333666578,1500,8000000000,0,11,0,0,0.0503432489931583,17.652685664464137,7.0,1,0,300.0,2.0,1.0
n26,2022-06-01,7382.78333666578,1500,8000000000,0,11,0,0,0.0503432489931583,17.652685664464137,7.0,0,1,300.0,2.0,1.0
n26,2022-06-01,13022.084931741949,1500,8000000000,0,11,0,0,0.0503432489931583,17.652685664464137,4.0,0,0,300.0,2.0,1.0
n26,2022-06-01,13022.084931741949,1500,8000000000,0,11,0,0,0.0503432489931583,17.652685664464137,7.0,1,0,300.0,2.0,1.0
n26,2022-06-01,13022.084931741949,1500,8000000000,0,11,0,0,0.0503432489931583,17.652685664464137,7.0,0,1,300.0,2.0,1.0
n26,2022-07-01,9062.696017401997,1500,8000000000,0,11,0,0,0.0451339930295944,17.661376146727168,5.0,0,0,300.0,2.0,0.0
n26,2022-07-01,9062.696017401997,1500,8000000000,0,11,0,0,0.0451339930295944,17.661376146727168,6.0,1,0,300.0,2.0,0.0
n26,2022-07-01,9062.696017401997,1500,8000000000,0,11,0,0,0.0451339930295944,17.661376146727168,6.0,0,1,300.0,2.0,0.0
n26,2022-07-01,10516.891239356415,1500,8000000000,0,11,0,0,0.0451339930295944,17.661376146727168,5.0,0,0,300.0,2.0,0.0
n26,2022-07-01,10516.891239356415,1500,8000000000,0,11,0,0,0.0451339930295944,17.661376146727168,6.0,1,0,300.0,2.0,0.0
n26,2022-07-01,10516.891239356415,1500,8000000000,0,11,0,0,0.0451339930295944,17.661376146727168,6.0,0,1,300.0,2.0,0.0
n26,2022-08-01,8751.572647446745,1500,8000000000,0,11,0,0,0.054435484111309,17.661376146727168,8.0,0,0,300.0,2.0,0.0
n26,2022-08-01,8751.572647446745,1500,8000000000,0,11,0,0,0.054435484111309,17.661376146727168,8.0,1,0,300.0,2.0,0.0
n26,2022-08-01,8751.572647446745,1500,8000000000,0,11,0,0,0.054435484111309,17.661376146727168,8.0,0,1,300.0,2.0,0.0
n26,2022-08-01,11442.034145373626,1500,8000000000,0,11,0,0,0.054435484111309,17.661376146727168,8.0,0,0,300.0,2.0,0.0
n26,2022-08-01,11442.034145373626,1500,8000000000,0,11,0,0,0.054435484111309,17.661376146727168,8.0,1,0,300.0,2.0,0.0
n26,2022-08-01,11442.034145373626,1500,8000000000,0,11,0,0,0.054435484111309,17.661376146727168,8.0,0,1,300.0,2.0,0.0
n26,2022-09-01,7224.135118626587,1500,8000000000,0,11,0,0,0.0499168038368225,17.61792373541202,9.0,0,0,300.0,2.0,5.0
n26,2022-09-01,7224.135118626587,1500,8000000000,0,11,0,0,0.0499168038368225,17.61792373541202,8.0,1,0,300.0,2.0,5.0
n26,2022-09-01,7224.135118626587,1500,8000000000,0,11,0,0,0.0499168038368225,17.61792373541202,8.0,0,1,300.0,2.0,5.0
n26,2022-09-01,13134.701328776178,1500,8000000000,0,11,0,0,0.0499168038368225,17.61792373541202,9.0,0,0,300.0,2.0,5.0
n26,2022-09-01,13134.701328776178,1500,8000000000,0,11,0,0,0.0499168038368225,17.61792373541202,8.0,1,0,300.0,2.0,5.0
n26,2022-09-01,13134.701328776178,1500,8000000000,0,11,0,0,0.0499168038368225,17.61792373541202,8.0,0,1,300.0,2.0,5.0
n26,2022-10-01,5354.453814001844,1500,8000000000,0,11,0,0,0.0425000004470348,17.652685664464137,8.0,0,0,300.0,2.0,1.0
n26,2022-10-01,5354.453814001844,1500,8000000000,0,11,0,0,0.0425000004470348,17.652685664464137,8.0,1,0,300.0,2.0,1.0
n26,2022-10-01,5354.453814001844,1500,8000000000,0,11,0,0,0.0425000004470348,17.652685664464137,8.0,0,1,300.0,2.0,1.0
n26,2022-10-01,13014.949555790388,1500,8000000000,0,11,0,0,0.0425000004470348,17.652685664464137,8.0,0,0,300.0,2.0,1.0
n26,2022-10-01,13014.949555790388,1500,8000000000,0,11,0,0,0.0425000004470348,17.652685664464137,8.0,1,0,300.0,2.0,1.0
n26,2022-10-01,13014.949555790388,1500,8000000000,0,11,0,0,0.0425000004470348,17.652685664464137,8.0,0,1,300.0,2.0,1.0
n26,2022-11-01,9354.98767605288,1500,8000000000,0,11,0,0,0.0579710155725479,17.661376146727168,8.0,0,0,300.0,2.0,0.0
n26,2022-11-01,9354.98767605288,1500,8000000000,0,11,0,0,0.0579710155725479,17.661376146727168,7.0,1,0,300.0,2.0,0.0
n26,2022-11-01,9354.98767605288,1500,8000000000,0,11,0,0,0.0579710155725479,17.661376146727168,7.0,0,1,300.0,2.0,0.0
n26,2022-11-01,9779.149729760553,1500,8000000000,0,11,0,0,0.0579710155725479,17.661376146727168,8.0,0,0,300.0,2.0,0.0
n26,2022-11-01,9779.149729760553,1500,8000000000,0,11,0,0,0.0579710155725479,17.661376146727168,7.0,1,0,300.0,2.0,0.0
n26,2022-11-01,9779.149729760553,1500,8000000000,0,11,0,0,0.0579710155725479,17.661376146727168,7.0,0,1,300.0,2.0,0.0
n26,2022-12-01,5165.09800463829,1500,8000000000,0,11,0,0,0.0601265840232372,17.63530469993808,8.0,0,0,300.0,2.0,3.0
n26,2022-12-01,5165.09800463829,1500,8000000000,0,11,0,0,0.0601265840232372,17.63530469993808,7.0,1,0,300.0,2.0,3.0
n26,2022-12-01,5165.09800463829,1500,8000000000,0,11,0,0,0.0601265840232372,17.63530469993808,7.0,0,1,300.0,2.0,3.0
n26,2022-12-01,11302.005588201922,1500,8000000000,0,11,0,0,0.0601265840232372,17.63530469993808,8.0,0,0,300.0,2.0,3.0
n26,2022-12-01,11302.005588201922,1500,8000000000,0,11,0,0,0.0601265840232372,17.63530469993808,7.0,1,0,300.0,2.0,3.0
n26,2022-12-01,11302.005588201922,1500,8000000000,0,11,0,0,0.0601265840232372,17.63530469993808,7.0,0,1,300.0,2.0,3.0
n26,2023-01-01,6291.218744785735,1500,8000000000,0,11,0,0,0.0598669610917568,1.0,9.0,0,0,300.0,2.0,3.0
n26,2023-01-01,6291.218744785735,1500,8000000000,0,11,0,0,0.0598669610917568,1.0,8.0,1,0,300.0,2.0,3.0
n26,2023-01-01,6291.218744785735,1500,8000000000,0,11,0,0,0.0598669610917568,1.0,8.0,0,1,300.0,2.0,3.0
n26,2023-01-01,6858.590184761588,1500,8000000000,0,11,0,0,0.0598669610917568,1.0,9.0,0,0,300.0,2.0,3.0
n26,2023-01-01,6858.590184761588,1500,8000000000,0,11,0,0,0.0598669610917568,1.0,8.0,1,0,300.0,2.0,3.0
n26,2023-01-01,6858.590184761588,1500,8000000000,0,11,0,0,0.0598669610917568,1.0,8.0,0,1,300.0,2.0,3.0
n26,2023-02-01,6289.0524789627725,1500,8000000000,0,11,0,0,0.0427350439131259,17.64399518220111,9.0,0,0,300.0,2.0,2.0
n26,2023-02-01,6289.0524789627725,1500,8000000000,0,11,0,0,0.0427350439131259,17.64399518220111,8.0,1,0,300.0,2.0,2.0
n26,2023-02-01,6289.0524789627725,1500,8000000000,0,11,0,0,0.0427350439131259,17.64399518220111,8.0,0,1,300.0,2.0,2.0
n26,2023-02-01,7424.03914524577,1500,8000000000,0,11,0,0,0.0427350439131259,17.64399518220111,9.0,0,0,300.0,2.0,2.0
n26,2023-02-01,7424.03914524577,1500,8000000000,0,11,0,0,0.0427350439131259,17.64399518220111,8.0,1,0,300.0,2.0,2.0
n26,2023-02-01,7424.03914524577,1500,8000000000,0,11,0,0,0.0427350439131259,17.64399518220111,8.0,0,1,300.0,2.0,2.0
n26,2023-03-01,5844.544203102415,1500,8000000000,0,11,0,0,0.0418060198426246,17.652685664464137,9.0,0,0,300.0,2.0,1.0
n26,2023-03-01,5844.544203102415,1500,8000000000,0,11,0,0,0.0418060198426246,17.652685664464137,7.0,1,0,300.0,2.0,1.0
n26,2023-03-01,5844.544203102415,1500,8000000000,0,11,0,0,0.0418060198426246,17.652685664464137,7.0,0,1,300.0,2.0,1.0
n26,2023-03-01,8809.934385511588,1500,8000000000,0,11,0,0,0.0418060198426246,17.652685664464137,9.0,0,0,300.0,2.0,1.0
n26,2023-03-01,8809.934385511588,1500,8000000000,0,11,0,0,0.0418060198426246,17.652685664464137,7.0,1,0,300.0,2.0,1.0
n26,2023-03-01,8809.934385511588,1500,8000000000,0,11,0,0,0.0418060198426246,17.652685664464137,7.0,0,1,300.0,2.0,1.0
n26,2023-04-01,6423.697228227968,1500,8000000000,0,11,0,0,0.0421686731278896,17.64399518220111,7.0,0,0,300.0,2.0,2.0
n26,2023-04-01,6423.697228227968,1500,8000000000,0,11,0,0,0.0421686731278896,17.64399518220111,7.0,1,0,300.0,2.0,2.0
n26,2023-04-01,6423.697228227968,1500,8000000000,0,11,0,0,0.0421686731278896,17.64399518220111,7.0,0,1,300.0,2.0,2.0
n26,2023-04-01,10265.227329036006,1500,8000000000,0,11,0,0,0.0421686731278896,17.64399518220111,7.0,0,0,300.0,2.0,2.0
n26,2023-04-01,10265.227329036006,1500,8000000000,0,11,0,0,0.0421686731278896,17.64399518220111,7.0,1,0,300.0,2.0,2.0
n26,2023-04-01,10265.227329036006,1500,8000000000,0,11,0,0,0.0421686731278896,17.64399518220111,7.0,0,1,300.0,2.0,2.0
n26,2023-05-01,5934.9573003898795,1500,8000000000,0,11,0,0,0.0491573028266429,17.62661421767505,7.0,0,0,300.0,2.0,4.0
n26,2023-05-01,5934.9573003898795,1500,8000000000,0,11,0,0,0.0491573028266429,17.62661421767505,7.0,1,0,300.0,2.0,4.0
n26,2023-05-01,5934.9573003898795,1500,8000000000,0,11,0,0,0.0491573028266429,17.62661421767505,7.0,0,1,300.0,2.0,4.0
n26,2023-05-01,6051.689088089369,1500,8000000000,0,11,0,0,0.0491573028266429,17.62661421767505,7.0,0,0,300.0,2.0,4.0
n26,2023-05-01,6051.689088089369,1500,8000000000,0,11,0,0,0.0491573028266429,17.62661421767505,7.0,1,0,300.0,2.0,4.0
n26,2023-05-01,6051.689088089369,1500,8000000000,0,11,0,0,0.0491573028266429,17.62661421767505,7.0,0,1,300.0,2.0,4.0
n26,2023-06-01,7570.643411413261,1500,8000000000,0,11,0,0,0.058626465499401,17.64399518220111,7.0,0,0,300.0,2.0,2.0
n26,2023-06-01,7570.643411413261,1500,8000000000,0,11,0,0,0.058626465499401,17.64399518220111,7.0,1,0,300.0,2.0,2.0
n26,2023-06-01,7570.643411413261,1500,8000000000,0,11,0,0,0.058626465499401,17.64399518220111,7.0,0,1,300.0,2.0,2.0
n26,2023-06-01,8215.615083321494,1500,8000000000,0,11,0,0,0.058626465499401,17.64399518220111,7.0,0,0,300.0,2.0,2.0
n26,2023-06-01,8215.615083321494,1500,8000000000,0,11,0,0,0.058626465499401,17.64399518220111,7.0,1,0,300.0,2.0,2.0
n26,2023-06-01,8215.615083321494,1500,8000000000,0,11,0,0,0.058626465499401,17.64399518220111,7.0,0,1,300.0,2.0,2.0
n26,2023-07-01,14679.82996548805,1500,8000000000,0,11,0,0,0.0836120396852493,17.652685664464137,6.0,0,0,300.0,2.0,1.0
n26,2023-07-01,14679.82996548805,1500,8000000000,0,11,0,0,0.0836120396852493,17.652685664464137,6.0,1,0,300.0,2.0,1.0
