bank,date,web_traffic,number_of_employee,assets_under_management,number_of_branches,age,has_stores,founded_before_2000,cross_visitation,rank,category_best_salary_accounts_helmycash,category_best_savings_accounts_helpmycash,incentive,apr,mentions
n26,2022-06-01,13022.084931741947,1500,8000000000,0,11,0,0,0.05034324899315834,4.0,0,0,300€,2%,1
n26,2022-06-01,13022.084931741947,1500,8000000000,0,11,0,0,0.05034324899315834,7.0,1,0,300€,2%,1
n26,2022-06-01,13022.084931741947,1500,8000000000,0,11,0,0,0.05034324899315834,7.0,0,1,300€,2%,1
n26,2022-07-01,9062.696017401995,1500,8000000000,0,11,0,0,0.04513399302959442,5.0,0,0,300€,2%,0
n26,2022-07-01,9062.696017401995,1500,8000000000,0,11,0,0,0.04513399302959442,6.0,1,0,300€,2%,0
n26,2022-07-01,9062.696017401995,1500,8000000000,0,11,0,0,0.04513399302959442,6.0,0,1,300€,2%,0
n26,2022-07-01,10516.891239356417,1500,8000000000,0,11,0,0,0.04513399302959442,5.0,0,0,300€,2%,0
n26,2022-07-01,10516.891239356417,1500,8000000000,0,11,0,0,0.04513399302959442,6.0,1,0,300€,2%,0
n26,2022-07-01,10516.891239356417,1500,8000000000,0,11,0,0,0.04513399302959442,6.0,0,1,300€,2%,0
n26,2022-08-01,8751.572647446745,1500,8000000000,0,11,0,0,0.05443548411130905,8.0,0,0,300€,2%,0
n26,2022-08-01,8751.572647446745,1500,8000000000,0,11,0,0,0.05443548411130905,8.0,1,0,300€,2%,0
n26,2022-08-01,8751.572647446745,1500,8000000000,0,11,0,0,0.05443548411130905,8.0,0,1,300€,2%,0
n26,2022-08-01,11442.034145373626,1500,8000000000,0,11,0,0,0.05443548411130905,8.0,0,0,300€,2%,0
n26,2022-08-01,11442.034145373626,1500,8000000000,0,11,0,0,0.05443548411130905,8.0,1,0,300€,2%,0
n26,2022-08-01,11442.034145373626,1500,8000000000,0,11,0,0,0.05443548411130905,8.0,0,1,300€,2%,0
n26,2022-09-01,7224.135118626587,1500,8000000000,0,11,0,0,0.04991680383682251,9.0,0,0,300€,2%,5
n26,2022-09-01,7224.135118626587,1500,8000000000,0,11,0,0,0.04991680383682251,8.0,1,0,300€,2%,5
n26,2022-09-01,7224.135118626587,1500,8000000000,0,11,0,0,0.04991680383682251,8.0,0,1,300€,2%,5
n26,2022-09-01,13134.701328776178,1500,8000000000,0,11,0,0,0.04991680383682251,9.0,0,0,300€,2%,5
n26,2022-09-01,13134.701328776178,1500,8000000000,0,11,0,0,0.04991680383682251,8.0,1,0,300€,2%,5
n26,2022-09-01,13134.701328776178,1500,8000000000,0,11,0,0,0.04991680383682251,8.0,0,1,300€,2%,5
n26,2022-10-01,5354.453814001844,1500,8000000000,0,11,0,0,0.042500000447034836,8.0,0,0,300€,2%,1
