bank,date,web_traffic,cross_visitation,search_interest,rank,incentive,apr,mentions,app_installs,ppc_spend
bbva,2023-05-01,33327.4916768354,0.17768871784210205,53.0,5.5,0.0,0.0,3.0,126279.89538942388,63901.180264396025
bbva,2023-06-01,33102.53835861683,0.17421874403953552,48.0,5.5,0.0,0.0,1.0,123010.61116951639,56397.56171363754
bbva,2023-07-01,40004.97373618931,0.19150857627391815,46.8,4.0,0.0,0.0,1.0,116232.76039667329,94253.30825086885
bbva,2023-08-01,33688.124526660344,0.16384181380271912,51.5,5.0,0.0,0.0,1.0,102230.51460400659,60459.49980208675
bbva,2023-09-01,102540.47752089261,0.19230769574642181,56.75,5.0,0.0,0.0,2.0,104802.54301063594,57026.449018592975
bbva,2023-10-01,26425.57645595719,0.1901608258485794,56.0,5.0,0.0,0.0,3.0,118322.03756468568,59051.78105781771
bbva,2023-11-01,32849.23293514365,0.18089887499809265,53.5,4.088235294117647,0.0,2.0,4.0,104374.37045778411,76977.38280020525
bbva,2023-12-01,29659.949637098172,0.18358831107616425,43.8,3.596774193548387,0.0,2.0,1.0,93604.33556938532,68759.12281670872
revolut,2021-12-01,1343.4183275020612,0.0710059180855751,7.75,3.596774193548387,0.0,0.0,0.0,118468.75388092388,33013.71858687466
revolut,2022-01-01,1531.016800629015,0.05279503017663956,7.75,3.596774193548387,0.0,0.0,0.0,118468.75388092388,33013.71858687466
revolut,2022-02-01,1304.5912569955065,0.04901960864663124,7.775,3.596774193548387,0.0,0.0,1.0,88092.4904828717,29351.658314681496
revolut,2022-03-01,1105.180575414742,0.05107526853680611,7.775,3.596774193548387,0.0,0.0,1.0,88092.4904828717,29351.658314681496
revolut,2022-04-01,1020.9687131524569,0.04516938701272011,33.675,3.596774193548387,0.0,0.0,0.0,19828.120589703805,2481.675856394753
revolut,2022-05-01,1648.2213654015507,0.0476190485060215,32.0,6.0,0.0,0.0,0.0,37465.011047391316,4582.10004366657
revolut,2022-06-01,1261.1834025115638,0.05860113352537155,32.0,7.0,0.0,0.0,0.0,31530.182853616323,9670.007276546417
revolut,2022-07-01,2692.5794530888957,0.0633397325873375,32.0,7.0,0.0,0.0,0.0,40666.980867766855,10401.3109084814
